epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,616.943,0.9371,0.41018,1.06329,0.98893,1,0.99459,0.77906,0.95386,0.38774,1.12957,0.000812,0.000812,0.000812
44,631.435,0.93898,0.39941,1.07747,0.98913,1,0.9948,0.77845,0.95875,0.37042,1.12361,0.000783714,0.000783714,0.000783714
45,645.822,0.93022,0.40108,1.06008,0.9894,1,0.995,0.79739,0.95072,0.36931,1.12613,0.000755429,0.000755429,0.000755429
46,659.661,0.92537,0.40667,1.07073,0.98927,1,0.99439,0.78834,0.93184,0.38876,1.12528,0.000727143,0.000727143,0.000727143
47,673.38,0.90139,0.39666,1.0539,0.98905,1,0.99439,0.79354,0.92172,0.35945,1.10879,0.000698857,0.000698857,0.000698857
48,687.161,0.90477,0.39398,1.05796,0.98906,1,0.9949,0.79458,0.89949,0.35708,1.09366,0.000670571,0.000670571,0.000670571
49,701.017,0.91318,0.3944,1.05871,0.98898,1,0.99469,0.79491,0.92051,0.35938,1.1078,0.000642286,0.000642286,0.000642286
50,714.756,0.90184,0.3982,1.0452,0.98945,1,0.9948,0.80236,0.9185,0.34908,1.10473,0.000614,0.000614,0.000614
51,729.014,0.90316,0.38488,1.04694,0.98758,1,0.99449,0.79318,0.92567,0.34906,1.11038,0.000585714,0.000585714,0.000585714
52,742.827,0.89203,0.38075,1.03047,0.98976,0.99674,0.99449,0.78467,0.94162,0.35141,1.11935,0.000557429,0.000557429,0.000557429
53,756.801,0.89788,0.37583,1.04711,0.98879,1,0.99429,0.80624,0.90884,0.34992,1.10023,0.000529143,0.000529143,0.000529143
54,771.261,0.89714,0.38865,1.06326,0.98866,1,0.99429,0.78745,0.96092,0.3533,1.13402,0.000500857,0.000500857,0.000500857
55,785.69,0.86902,0.37328,1.03628,0.98914,1,0.99439,0.79735,0.92223,0.33041,1.1146,0.000472571,0.000472571,0.000472571
56,800.1,0.87689,0.36577,1.03316,0.98923,1,0.99469,0.7984,0.91568,0.34291,1.11089,0.000444286,0.000444286,0.000444286
57,813.978,0.88278,0.37052,1.05467,0.98889,1,0.9948,0.79014,0.93558,0.35172,1.11996,0.000416,0.000416,0.000416
58,828.561,0.90003,0.38031,1.04303,0.98886,1,0.9948,0.80116,0.89859,0.33159,1.10046,0.000387714,0.000387714,0.000387714
59,843.073,0.88642,0.37774,1.05153,0.98896,1,0.9948,0.79465,0.91875,0.33841,1.1066,0.000359429,0.000359429,0.000359429
60,857.67,0.88684,0.38007,1.03202,0.98903,1,0.99469,0.7955,0.92482,0.34542,1.11015,0.000331143,0.000331143,0.000331143
61,874.992,0.85534,0.36928,1.07123,0.98897,1,0.9948,0.77129,0.92462,0.35332,1.11704,0.000302857,0.000302857,0.000302857
62,889.123,0.86167,0.35841,1.08395,0.98962,1,0.99469,0.79631,0.91769,0.34512,1.11262,0.000274571,0.000274571,0.000274571
63,903.273,0.86316,0.35637,1.07239,0.98906,1,0.9948,0.8054,0.91856,0.3389,1.11219,0.000246286,0.000246286,0.000246286
64,917.313,0.8466,0.34855,1.07475,0.98904,1,0.9949,0.79754,0.92335,0.3436,1.10898,0.000218,0.000218,0.000218
65,931.001,0.84375,0.34215,1.04683,0.98897,1,0.9949,0.80659,0.91938,0.33692,1.10516,0.000189714,0.000189714,0.000189714
66,944.811,0.85134,0.35396,1.06748,0.98904,1,0.9949,0.79489,0.92298,0.3295,1.10915,0.000161429,0.000161429,0.000161429
67,958.544,0.84107,0.34494,1.06574,0.98904,1,0.99469,0.7918,0.93734,0.33633,1.11476,0.000133143,0.000133143,0.000133143
68,972.778,0.83216,0.33835,1.05409,0.98904,1,0.9948,0.79887,0.92868,0.33203,1.10881,0.000104857,0.000104857,0.000104857
69,986.544,0.82837,0.33203,1.06185,0.98902,1,0.9948,0.80501,0.92568,0.32563,1.10587,7.65714e-05,7.65714e-05,7.65714e-05
70,999.96,0.82475,0.34414,1.0581,0.98903,1,0.9948,0.80656,0.92606,0.32745,1.1055,4.82857e-05,4.82857e-05,4.82857e-05
